doc_id,permit_num,already_downloaded,name,votes,agents,reasons
8645871,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-4.pdf,1,b,b: Part 4 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645875,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-5.pdf,1,b,b: Part 5 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645878,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-6.pdf,1,b,b: Part 6 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645879,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-7.pdf,1,b,b: Part 7 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645882,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-8.pdf,1,b,b: Part 8 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645886,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-9.pdf,1,b,b: Part 9 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645889,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-10.pdf,1,b,b: Part 10 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645891,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-11.pdf,1,b,b: Part 11 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645893,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-12.pdf,1,b,b: Part 12 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645895,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-13.pdf,1,b,b: Part 13 of split 100% construction documents; split set should be reviewed together for plan sheets.
8645899,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-14.pdf,1,b,b: Part 14 of split 100% construction documents; split set should be reviewed together for plan sheets.
6383085,23-03318-RNVS,False,522 Montegut_final_HDLC_approved.pdf,1,a,a: Final HDLC-approved file likely contains approved architectural plans for the penthouse addition.
6576534,23-21190-RNVS,False,7224 Dominican - RCC Stamped.pdf,1,b,b: RCC-stamped package is likely the approved plan set for the renovation.
981329,13-28119-NEWC,False,6262 Pontchartrain Blvd.pdf,1,b,b: Address-only PDF is likely a drawing set for the same new mixed-use project.
4270016,19-22432-RNVS,False,AA1801_131 Carondelet_Plan Revisions.pdf,1,b,b: Plan revisions PDF likely contains updated architectural/floor-plan sheets.
4727124,19-37598-RNVS,False,610-616 Baronne - HDLC and RCC Stamped.pdf,1,b,b: HDLC and RCC stamped set is likely an approved architectural plan set.
6000116,22-03626-RNVS,False,HDLC Approved_1578MAGAZINE.pdf,1,b,b: HDLC approved address PDF likely contains approved drawings for the project.
9032611,25-38521-RNVS,False,CPC Approved Plan Set.pdf,1,b,b: CPC approved plan set is likely a full approved drawing package.
9042844,25-38521-RNVS,False,4041 Magazine St- RCC Stamped.pdf,1,b,b: RCC-stamped address PDF likely contains the approved plan set.
9055278,26-09515-RNVS,False,5300 Tchoupitoulas St. # 32 (RCC).PDF,1,b,b: RCC-stamped address PDF likely contains the approved renovation plan package.
1170974,14-09738-NEWC,False,Tchoup NEWC A-1.pdf,1,a,a: A-1 is likely an architectural floor/code plan sheet for the small building.
1303446,14-09738-NEWC,False,final combined set for permitting.pdf,1,a,a: Final combined set for permitting is a likely complete plan package.
3294476,17-00996-NEWC,False,710 Baronne_Combined Set_Post Bid Addendum 1_ 18_0222.pdf,1,a,a: Combined set post-bid addendum is a likely updated architectural drawing package.
4513575,20-01153-RNVS,False,PLANS BLDG 9.pdf,1,b,b: Plans Bldg 9 is a direct building plan candidate.
4891890,20-01153-RNVS,False,Resubmittal -Plans 04-02-2021 review.pdf,1,a,a: Resubmittal plans may include revised floor/interior drawings.
