doc_id,permit_num,already_downloaded,name,votes,agents,reasons
1462752,14-27328-NEWC,False,charbonnets place 7211 regent street.pdf,,,
3911288,19-09618-RNVS,False,Construction Drawings.pdf,,,
4079564,19-17650-RNVS,False,3034 a2 sp.pdf,,,
4079565,19-17650-RNVS,False,3034 a1 sp.pdf,,,
5021275,21-10517-RNVS,False,204 S Saratoga - RCC Stamped.pdf,,,
6440202,23-12861-NEWC,False,2023.10.17_202822_1723HenrietteDelille_DD5-compressed.pdf,,,
6855543,23-35090-RNVN,False,2801 Magazine 23-35090 SP RCC.pdf,,,
8260959,25-09195-RNVN,False,"2025.06.13 - 621 St Louis VCC approved rooftop lights, finishes.pdf",,,
9090685,26-11301-RNVS,False,04.02.26_Sexy Eleven_ FLOORS PLAN.pdf,,,
1629208,14-18929-NEWC,False,complete revised set 864 S. Peters.pdf,2,a;b,a: Complete revised set is likely a full plan package with architectural floor plans. || b: Complete revised set is a likely updated full drawing package with architectural floor-plan sheets.
4941409,20-29653-RNVS,False,Finish schedule.pdf,2,a;b,a: Finish schedule is directly relevant to finish-plan labeling. || b: Finish schedule is directly relevant to finish-plan labeling.
7352761,24-19187-RNVN,False,24-03_CD_ARCH_6-21-24.pdf,2,a;b,a: CD_ARCH file is the architectural construction document set likely containing floor and finish plans. || b: CD_ARCH package is the clear architectural drawing set for the Burlington interior renovation.
7671011,24-22310-RNVN,False,HDLC Approved Conformed_7457 St Charles_3E sealed for permit review.pdf,2,a;b,a: HDLC approved conformed sealed permit review package is the strongest likely architectural/interior plan set. || b: HDLC-approved conformed sealed permit-review set is the best likely architectural/interior drawing package.
7683315,24-33766-RNVN,False,900 Jefferson Permit Release Set.pdf,2,a;b,a: Permit release set for interior coffee shop renovation likely contains architectural floor and finish sheets. || b: Permit release set for coffee shop renovation likely contains architectural floor plans and finish/equipment layout.
7803736,24-30299-RNVN,False,Plans (SWBNO approved).pdf,2,a;b,a: Generic approved plans file is the strongest plan-package candidate for the restaurant restoration. || b: Generic Plans PDF for restaurant restoration is the best likely plan-set candidate.
8168166,25-15024-RNVN,False,2025-05-09_Hilton Junction Cafe_BID DWGS (RCC)pdf.pdf,2,a;b,a: Bid drawing set for the interior cafe renovation; likely contains floor plans and finish information. || b: Bid drawings for hotel cafe renovation likely contain architectural/interior floor and finish information.
8232884,25-17248-RNVS,False,615 Baronne Street - ARC Package 1 - 2025.06.06.pdf,2,a;b,a: ARC package is an explicit architectural plan package for the hotel conversion. || b: ARC package is likely the architectural package for the hotel/mixed-use renovation.
8645860,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-1.pdf,2,a;b,a: Compiled 100 percent CD Part 1 is likely the front/architectural portion of the full drawing set. || b: Part 1 of split 100% construction documents likely includes architectural floor/finish sheets.
8645863,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-2.pdf,2,a;b,"a: Compiled 100 percent CD Part 2 is an early split part of the full drawing set, likely still architectural/interior. || b: Part 2 of split 100% construction documents likely includes architectural floor/finish sheets."
8645868,25-17248-RNVS,False,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-3.pdf,2,a;b,"a: Compiled 100 percent CD Part 3 is an early split part of the full drawing set, likely still architectural/interior. || b: Part 3 of split 100% construction documents likely includes architectural floor/finish sheets."
4334177,19-22404-RNVS,False,608Iberville_2A_rev8.21.19_NOV26.pdf,2,a;b,a: Revised Iberville apartment/buildout PDF is the clearest likely floor-plan/finish-plan document. || b: Revised address plan PDF likely contains the apartment buildout floor plans.
4887007,20-45284-RNVS,False,AA2018 2123 Tchoupitoulas - Phase 1 Permit Set - Use Update - 2021-0316.pdf,2,a;b,a: Named Phase 1 Permit Set for the brewery/warehouse renovation; likely includes architectural floor plans. || b: Phase 1 permit set likely contains architectural floor plans for the brewery renovation.
5018637,19-37400-RNVS,False,Permit set with Stormwater approvals.pdf,2,a;b,a: Permit set PDF is the clearest plan package despite stormwater approvals in the filename. || b: Permit set with approvals likely includes architectural plans for the mixed-use renovation.
5082003,20-34161-NEWC,False,1239 ST THOMAS 20210711 FINAL.pdf,2,a;b,a: Final project PDF for new mixed-use building is the best likely architectural plan set. || b: Final building plan PDF likely contains floor plans for the mixed-use new construction.
6547901,23-24514-RNVS,False,2307_230821_Covery SFM SET (1).pdf,2,a;b,a: SFM set for tenant expansion likely includes architectural floor/layout sheets and finish-related information. || b: SFM set for tenant expansion likely contains floor/layout sheets and possibly finish information.
9058456,26-10321-RNVN,False,100 CD_ARCH 04-06-26.pdf,2,a;b,"a: Architectural CD set for office renovation; likely contains floor plans, partition plans, and finish information. || b: Architectural CD set likely contains floor plans and finish/partition layouts."
9105905,25-15269-RNVS,False,_PermitSet_merged_SP RCC STAMPED.pdf,2,a;b,a: RCC-stamped merged permit set is the strongest likely architectural plan package for the office renovation. || b: Stamped merged permit set likely contains architectural floor plans and finish information.
4511408,20-21673-RNVS,False,4401 CLAIBORNE STAMPED APPROVAL PLANS.pdf,2,a;b,a: Stamped approval plans for an interior retail finish renovation likely contain floor plans and finish information. || b: Stamped approval plans likely contain the retail renovation floor plans and finish information.
5792618,22-31107-RNVS,False,22_1011 - 4th Floor Combined Set vol 1.pdf,2,a;b,a: Fourth-floor combined set for the interior renovation likely includes floor plans and finish sheets. || b: Combined fourth-floor set for the renovation likely contains floor plans and finish information.
5923761,22-31107-RNVS,False,300 Gravier - RCC Stamped.pdf,2,a;b,a: RCC stamped package is likely the approved plan set for the interior renovation. || b: RCC-stamped package is likely the approved plan set for the interior renovation.
6301295,23-21190-RNVS,False,Pages from 23_0803 - Issue for Permit - Volume 1.pdf,2,a;b,a: Issue for Permit Volume 1 is a strong architectural plan-set candidate. || b: Issue-for-permit volume 1 likely contains architectural/floor-plan sheets.
6301296,23-21190-RNVS,False,Pages from 23_0803 - Issue for Permit - Volume 2.pdf,2,a;b,a: Issue for Permit Volume 2 is part of the split plan set. || b: Issue-for-permit volume 2 is the companion plan volume for the renovation.
6547319,23-34011-RNVS,False,2601 Dauphine_CD Vol 1.pdf,2,a;b,a: CD Volume 1 is a strong architectural plan-set candidate. || b: Construction document volume 1 likely contains architectural/floor-plan sheets.
6547320,23-34011-RNVS,False,2601 Dauphine_CD Vol 2.pdf,2,a;b,a: CD Volume 2 is part of the split plan set. || b: Construction document volume 2 is the companion plan volume for the renovation/addition.
6808672,24-08753-RNVN,False,400 Lafy Permit Set_Vol 1.pdf,2,a;b,a: Permit Set Volume 1 is a strong plan-set candidate for the office fit-out. || b: Permit set volume 1 for office tenant fit-out likely contains architectural/floor-plan sheets.
6808673,24-08753-RNVN,False,400 Lafy Permit Set_Vol 2.pdf,2,a;b,a: Permit Set Volume 2 is part of the split plan set for the office fit-out. || b: Permit set volume 2 is the companion plan volume for the tenant fit-out.
7443726,24-08753-RNVN,False,HDLC &amp; PRC Approved__400 Lafayette Street Drawings__Combined SP RCC.pdf,2,a;b,a: Approved combined RCC drawings are likely the final stamped plan package. || b: Stamped approved combined drawings may contain the final approved floor-plan sheets.
7902341,25-02492-RNVN,False,25.02.11_Crunch - New Orleans LA (Westbank Plaza)_Delta 1 Permit Plans (1 of 2) - RCC.pdf,2,a;b,a: Delta 1 RCC permit plans part 1 are a strong current architectural/interior plan-set candidate. || b: Delta 1 RCC permit plans part 1 for the fitness tenant improvement.
7902344,25-02492-RNVN,False,25.02.11_Crunch - New Orleans LA (Westbank Plaza)_Delta 1 Permit Plans (2 of 2) - RCC.pdf,2,a;b,a: Delta 1 RCC permit plans part 2 are part of the current split plan set. || b: Delta 1 RCC permit plans part 2 for the fitness tenant improvement.
8179329,25-03039-RNVN,False,2511 Jena - Permit Set 1.23.25 (RCC).pdf,2,a;b,a: RCC permit set is the primary architectural plan-set candidate. || b: RCC permit set for restaurant renovation likely contains floor plans and architectural sheets.
8179330,25-03039-RNVN,False,2511 Jena - SHEET A3_REVISED 5.5.25 (RCC).pdf,2,a;b,a: Revised architectural sheet A3 likely contains updated restaurant plan details. || b: Revised RCC architectural sheet A3 may update the plan set.
8200233,25-16244-RNVN,False,Z_2700 General De Gaulle Dr PERMIT SET 05-27-24 (RCC).pdf,2,a;b,a: RCC permit set is a strong architectural/floor-plan candidate for the suite subdivision. || b: RCC permit set likely contains the suite layout and architectural floor plans.
8348101,25-21013-RNVN,False,250710-04 Architectural.pdf,2,a;b,a: Architectural set is a strong floor-plan candidate for the hotel interior renovation. || b: Architectural package likely contains floor plans for the multi-level renovation.
8348102,25-21013-RNVN,False,250710-05 Interior Design.pdf,2,a;b,"a: Interior Design set is a strong finish-plan and finish-schedule candidate. || b: Interior Design package likely contains finish plans, schedules, and interior layouts."
8366876,25-03039-RNVN,False,El Cafecito Cubano - Sheet A2 REV. Construction Set 6.5.25 (RCC).pdf,2,a;b,a: Revised construction set sheet A2 likely contains updated architectural plan information. || b: Revised construction set sheet A2 may update the architectural plan set.
8498058,25-27145-RNVS,False,2025.09.08_202503_5342 St.Charles_Innovation Lab_CD100 Shrunk.pdf,2,a;b,a: Construction document set for the innovation lab likely contains floor plans and finish information. || b: Construction document set for the innovation lab/classroom renovation likely contains floor plans and finish sheets.
8746123,23-34011-RNVS,False,HDLC Approved__2601 Dauphine Street Final RCC__Combined.pdf,2,a;b,a: Final RCC combined drawings are likely the stamped approved plan package. || b: Final RCC combined package likely contains the approved architectural plan set.
8889555,26-03759-RNVS,False,2026_0205_AA2526_3100 Banks First Floor Units_SDs Revised.pdf,2,a;b,a: Revised first-floor units schematic design likely contains unit layout and floor plans. || b: Revised first-floor unit SD package likely contains floor layouts for the conversion.
8927282,25-39860-RNVS,False,2404 Simon Bolivar-final.pdf,2,a;b,a: Final drawing package likely contains plans for the restaurant/apartment renovation. || b: Final drawing package likely contains floor plans for the mixed-use renovation.
8950097,26-06136-RNVN,False,OBMC NMP Survivorship Expansion_Arch_2026 0227 (RCC).pdf,2,a;b,a: RCC architectural set is a strong floor-plan/interior plan candidate. || b: Architectural RCC package for clinic renovation likely contains floor plans and room layouts.
871000,13-28119-NEWC,False,6262 Pontchartrain Blvd A and B and C.pdf,2,a;b,a: Address and unit PDF for new mixed-use construction likely contains architectural floor plans. || b: Address and unit A/B/C PDF is likely the architectural plan set for the mixed-use building.
4488134,19-37598-RNVS,False,610-616 Baronne - Combined Set.pdf,2,a;b,a: Combined set for major renovation likely contains architectural floor plans. || b: Combined set is likely the full architectural drawing package with floor plans.
5480819,21-35659-RNVS,False,approved Touro Napoleon Imaging_PERMIT DRAWINGS.pdf,2,a;b,a: Approved permit drawings for a large interior renovation likely include architectural floor plans. || b: Approved permit drawings for the interior renovation likely contain floor plans.
5888617,22-03626-RNVS,False,ARC 221209_1578MAGAZINE.pdf,2,a;b,a: ARC/address PDF for tenant improvement likely contains architectural plan sheets. || b: ARC-labeled address PDF is likely an architectural drawing set for the tenant improvement.
8707223,25-12293-RNVN,False,"2025.11.19 - 240 Royal VCC APPROVED CoU, millwork (RCC).pdf",2,a;b,a: VCC-approved change-of-use and millwork RCC PDF likely includes interior plan or millwork sheets. || b: VCC-approved change-of-use and millwork RCC PDF likely includes architectural/interior sheets.
8905136,25-38521-RNVS,False,260211 - 4041 Magazine - Revised Sheets.pdf,2,a;b,a: Revised sheets likely contain updated architectural plan content not covered by the base downloaded set. || b: Revised sheets likely contain updated architectural plan pages.
9093060,25-37680-RNVS,False,2026.04.13_202510_610 Frenchmen Street_CD100-compressed.pdf,2,a;b,a: CD100 construction document PDF is likely the architectural plan set for the renovation. || b: CD100 construction-document PDF is likely the main architectural drawing package.
1063205,12COM-00404,False,12com-00404 Stamped Plans.pdf,2,a;b,a: Stamped plans for a new restaurant likely contain architectural floor plans. || b: Stamped plans likely contain architectural drawings and floor plans.
1317305,14-09738-NEWC,False,14-09738-NEWC stamped and approved plans.pdf,2,a;b,a: Stamped and approved plans are a strong architectural plan-set candidate. || b: Stamped and approved plans are the best complete plan-set candidate.
3841957,19-03633-NEWC,False,1320 Magazine - RCC Stamped.pdf,2,a;b,a: RCC stamped PDF for an interior retail build-out is likely an approved architectural plan set. || b: RCC-stamped PDF for the suite build-out is the likely architectural/interior plan set.
4623600,20-01153-RNVS,False,200914_CHNO B9_Interior Scope.pdf,2,a;b,a: Interior Scope is directly relevant to interior/finish labeling. || b: Interior Scope is directly relevant to interior/finish plan labeling.
4719103,20-01153-RNVS,False,16027 CHNOLA B9 _Drawings Permit Set SP.pdf,2,a;b,a: Drawings permit set is a strong candidate for architectural floor plans. || b: Drawings Permit Set SP is likely a complete stamped plan set for Bldg 9.
5668032,22-23422-RNVS,False,2022.0725_02211_920 Poeyfarre_RENO - 100 CD.pdf,2,a;b,a: RENO - 100 CD appears to be a construction-document set likely containing floor plans and finish information. || b: RENO 100 CD PDF is likely a construction document set with floor plans and finish information.
7688118,24-33876-RNVN,False,2024 1101 VCC NOLA IFP ARCH 1 - A000-AS001 (RCC stamped).pdf,2,a;b,a: ARCH 1 is part of the stamped architectural set for an interior retail alteration. || b: RCC-stamped ARCH part 1 is part of the architectural set.
7688120,24-33876-RNVN,False,2024 1101 VCC NOLA IFP ARCH 2 - AS002-AS003 (RCC stamped).pdf,2,a;b,a: ARCH 2 is part of the stamped architectural set for an interior retail alteration. || b: RCC-stamped ARCH part 2 is part of the architectural set.
7688122,24-33876-RNVN,False,2024 1101 VCC NOLA IFP ARCH 3 - A001-A324 (RCC stamped).pdf,2,a;b,a: ARCH 3 includes A001-A324 sheets and likely contains floor plans and finish-related sheets. || b: RCC-stamped ARCH part 3 spans A001-A324 and likely contains floor plans/interior sheets.
7688138,24-33876-RNVN,False,2024 1101 VCC NOLA IFP ARCH 4 - A400-A700 (RCC stamped).pdf,2,a;b,a: ARCH 4 includes A400-A700 sheets and may contain interior elevations/schedules/details. || b: RCC-stamped ARCH part 4 spans A400-A700 and may contain details/schedules relevant to finishes.
