doc_id,permit_num,code,tier,score,name,description,reasons
3988033,18-04638-RNVS,RNVS,strict,123,._Stamped Architectural Set 3319 St. Claude Ave..pdf,Construct 500 sqft addition to an existing office as per plans.,strict primary-plan filename | relevant permit scope | renovation permit
5449878,19-00670-RNVS,RNVS,strict,123,215 Tchoupitoulas - HDLC and RCC Stamped.pdf,"Renovation of existing 2 story building with a 3 story addition for a total 5 stry 37 unit Timeshare project as per plans and BBSA letter. This phase includes structural shell, GF build-out and two dwelling units. Stormwater submittals are embedded into the Building plans under Structural and under Mechanical drawings",strict primary-plan filename | relevant permit scope | renovation permit
4009394,19-08414-RNVS,RNVS,strict,123,2734 N Rampart - HDLC and RCC Stamped.pdf,"Repair and paint existing exterior windows, doors, and trim. Add 12"" smooth hardie siding and paint. Add smooth hardie trim and paint. Add HDLC floor decking on second floor outdoor area with 42"" parapet and appropriate drainage as per plans.",strict primary-plan filename | relevant permit scope | renovation permit
4154314,19-10464-RNVS,RNVS,strict,123,634 Orange - RCC Stamped.pdf,Renovation of an existing warehouse into 2 white box spaces with a common lobby. The project will include landscape and the addition of a concrete porch of the existing building.,strict primary-plan filename | relevant permit scope | renovation permit
4636494,19-11679-RNVS,RNVS,strict,123,3494 Esplanade - RCC Stamped.pdf,"Renovation of facade of existing building. No interior work, no site work, no change in use or occupancy.",strict primary-plan filename | relevant permit scope | renovation permit
4035735,19-17953-RNVS,RNVS,strict,123,522 Chartres - VCC and RCC Stamped.pdf,"Renovation/reconstruction of a portion of masonry wall, which borders a parking lot. The project is being uploaded for review and currently being bid on. The selected contractor will include the contract, and final contract price. the price included today (06-04-19) is only an estimate.",strict primary-plan filename | relevant permit scope | renovation permit
4025495,19-18101-RNVS,RNVS,strict,123,2019_0604 - 5900 Magazine - Construction Documents.pdf,Partial renovation of existing one story restaurant.,strict primary-plan filename | relevant permit scope | renovation permit
4035860,19-18423-RNVS,RNVS,strict,123,522 Bourbon - RCC Stamped.pdf,Interior structural repairs of the existing balcony as per plans. NOTE: VCC review and approval not required for interior work. Any exterior work must be submitted to VCC for review and permit prior to completion of work.,strict primary-plan filename | relevant permit scope | renovation permit
4561379,19-24353-RNVS,RNVS,strict,123,705 Camp - HDLC and RCC Stamped.pdf,"ADAPTIVE RE-USE OF EXISTING COMMERCIAL, BUILDING INTO SEPARATED OCCUPANCIES. A MERCANTILE OCCUPANCY IS PLANNED FOR THE FIRST FLOOR ON CAMP STREET. A HOTEL (COMMERCIAL SHORT-TERM- RENTAL) OCCUPANCY IS PROPOSED ON FLOORS 1-4, ACCESSED VIA GIROD STREET. BUILDING IS CURRENTLY VACANT. NO CHANGE IN EXISTING FOOTPRINT.",strict primary-plan filename | relevant permit scope | renovation permit
4203480,19-25201-RNVS,RNVS,strict,123,937 Barracks - VCC and RCC Stamped.pdf,"Remove existing roofing material, Replace interior ridge beam, per attached materials stamped VCC approved 09/17/19. Repair and/or replace underlayment as necessary, Install new natural slate (grey/green), using copper nails, Install new copper drip edge, Install/repair half round copper gutters and flashing Remove existing roof over front gallery and install new standing-seam copper roof. Install/reinstall ceramic or concrete V-style or terra cotta ridge tiles. Replace broken tiles as needed, to match existing. Metal cap-flashing on the parapets or chimneys is not allowed. Paint wooden trim and dormers to match existing, as needed. Note: Trash chutes are required for removal of debris from all roofs All work must conform to standard VCC policies & guidelines Permit does not allow for cap flashing on parapets, chimneys or surrounding walls Torch-applied roofing is not permitted in the Vieux Carré. All repair/replacement work shall match existing in color, size, material, detail, profile and exposure. NOTE: No HVAC platform or rooftop installation approved as part of this permit.",strict primary-plan filename | relevant permit scope | renovation permit
