doc_id,permit_num,code,score,tags,name,description,reasons
5849291,22-23361-NEWC,NEWC,232,architectural;commercial_use;interior_scope;permit_cd_set;plans_scope;site_struct,2110 NOLA AC 221111 Foundation Permit Set Arch Stamped.pdf,New Construction of 6 story hotel with meeting rooms and additional 1st floor tenant commercial space. All work to be done as per plans.,filename signal: architectural | filename signal: permit_cd_set | junk words present but overridden by strong plan signal
6159782,23-14384-NEWC,NEWC,230,architectural;commercial_use;permit_cd_set,22155 - Adamick Architecture - 1137 Baronne St - Construction Documents - 01.31.2023.pdf,New Construction of single guest suite hotel structure. Hotel will be operated in combination with a collection of adjacent properties as one hotel made up of several structures. The hotel lobby structure is located at 1200 Baronne - see that permit application for the overall hotel use application.,filename signal: architectural | filename signal: permit_cd_set
7701434,24-34519-RNVN,RNVN,225,architectural;commercial_use;drawing_set;interior_scope,Starbucks at Loyola_Renovation_Arch Drawings.pdf,Renovation of ground floor retail space inside existing building to include a new Starbucks Coffee location. Building is owned by Loyola University (Francis Hall).,filename signal: architectural | filename signal: drawing_set
6685017,24-06282-RNVN,RNVN,205,approved_plans;interior_scope;permit_cd_set,618 Conti Coffee Permit Set 03052024 (RCC stamped).pdf,Build-out of a ground floor Coffee Shop.,filename signal: permit_cd_set | filename signal: approved_plans
7465246,24-21892-RNVN,RNVN,205,approved_plans;interior_scope;permit_cd_set,24022 Jefferson Church Ph1 Mech Permit Set Rev1 07-08-24. (RCC stamped).pdf,"Phase One encompasses work required to make the facilities ready for a new congregation. This includes an overhaul of the mechanical systems serving the Educational Building and Gym/Fellowship Hall including both modified and entirely new systems. In addition to accounting for the power needs of new mechanical systems, the electrical scope includes swapping out existing light fixtures with new fixtures in the same location and providing new lighting and outlets to support services hosted in the Fellowship Hall. Plumbing upgrades include the relocation of an existing laundry room and the addition of two small restrooms in an area prior utilized as storage. Phase One also aims to address the roofing scope campus-wide to ensure watertight buildings before future improvements take place. Beyond system and envelope upgrades, interior finishes in these areas of the building will also be upgraded to avoid any future work requirements to the spaces in later phases of construction.",filename signal: permit_cd_set | filename signal: approved_plans
4755553,20-49199-RNVS,RNVS,202,commercial_use;interior_scope;permit_cd_set;plans_scope;sheet_a,1780 North Broad Street_Construction Documents Sheet A-3_Revised 12-21-20.pdf,"Interior and Exterior Renovations and addition to an existing (1) story residential building and conversion to a 2279 sq ft medical clinic as per plans. Structural work includes a rear and second floor addition. All new Mechanical, Electrical, and Plumbing.",filename signal: permit_cd_set | filename signal: sheet_a
8670118,21-32352-NEWC,NEWC,195,approved_plans;commercial_use;permit_cd_set,316-22 Allen Toussaint_Construction Documents_09-15-25 REVISED SPP RCC STAMPED.pdf,Construction of a new two story mixed-use commercial building. Ground floor to be future retail space and second floor to be occupied by building owner as a professional office. Construction Type V THE PERMIT HAS BEEN REISSUED ON 11-20-2025 AND EXTENDED FROM THAT DATE ON 180 DAYS. IT IS EXTENDED AUTOMOTIALLY FROM EACH INSPECITON DATE FROM THERE,filename signal: permit_cd_set | filename signal: approved_plans
5071264,20-39838-RNVS,RNVS,190,architectural;commercial_use;drawing_set;interior_scope;trade,901 Bartholomew Arch. Drawings and MEP and SP.pdf,"Interior: Complete interior renovation of Non-Structural wood frame partitions at first and second level. Convert 1st level to 7 proposed office rentals and 2nd level converting office space to 5 residential lease spaces. Exterior revisions: 1st level additions of new entry store front conversions, 2nd level remove existing windows with casement windows and revised brick trim per plan. Note: Entire building to be freshly painted.",filename signal: architectural | filename signal: drawing_set | junk words present but overridden by strong plan signal
7250003,23-08653-NEWC,NEWC,180,architectural;permit_cd_set;site_struct,1660 N Roman_Permit set _ARCH Civil Struct Combined_10MAY24_Reduced.pdf,"Construction of a two-story community center utilizing containers. The building will measure approximately 2,032 square feet.",filename signal: architectural | filename signal: permit_cd_set | junk words present but overridden by strong plan signal
7759937,24-36940-RNVS,RNVS,180,approved_plans;permit_cd_set,Richs Wash Dat - Earhart Construction Documents 12-6-2024 (RCC stamped).pdf,Creation of a street exit for an exiting car wash that only has one way in and out for primary circulation. New exit to use existing curb cut. Relocation of a dumpster for direct street access for collection new curb cut.,filename signal: permit_cd_set | filename signal: approved_plans
