doc_id,status,bytes,permit_num,name
1462752,ok,4290005,14-27328-NEWC,charbonnets place 7211 regent street.pdf
3911288,ok,26474811,19-09618-RNVS,Construction Drawings.pdf
4079564,ok,7736643,19-17650-RNVS,3034 a2 sp.pdf
4079565,ok,7410789,19-17650-RNVS,3034 a1 sp.pdf
5021275,ok,27095519,21-10517-RNVS,204 S Saratoga - RCC Stamped.pdf
6440202,ok,9071540,23-12861-NEWC,2023.10.17_202822_1723HenrietteDelille_DD5-compressed.pdf
6855543,ok,13832980,23-35090-RNVN,2801 Magazine 23-35090 SP RCC.pdf
8260959,ok,15715858,25-09195-RNVN,"2025.06.13 - 621 St Louis VCC approved rooftop lights, finishes.pdf"
9090685,ok,13606279,26-11301-RNVS,04.02.26_Sexy Eleven_ FLOORS PLAN.pdf
1629208,ok,70382795,14-18929-NEWC,complete revised set 864 S. Peters.pdf
4941409,ok,228004,20-29653-RNVS,Finish schedule.pdf
7352761,ok,6199642,24-19187-RNVN,24-03_CD_ARCH_6-21-24.pdf
7671011,ok,10038004,24-22310-RNVN,HDLC Approved Conformed_7457 St Charles_3E sealed for permit review.pdf
7683315,ok,10410407,24-33766-RNVN,900 Jefferson Permit Release Set.pdf
7803736,ok,146427,24-30299-RNVN,Plans (SWBNO approved).pdf
8168166,ok,14936382,25-15024-RNVN,2025-05-09_Hilton Junction Cafe_BID DWGS (RCC)pdf.pdf
8232884,ok,20389834,25-17248-RNVS,615 Baronne Street - ARC Package 1 - 2025.06.06.pdf
8645860,ok,7879135,25-17248-RNVS,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-1.pdf
8645863,ok,4923473,25-17248-RNVS,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-2.pdf
8645868,ok,1060698,25-17248-RNVS,615 Baronne Street - Compiled 100 CDs - 2025.10.25Part-3.pdf
4334177,ok,267558,19-22404-RNVS,608Iberville_2A_rev8.21.19_NOV26.pdf
4887007,ok,28404594,20-45284-RNVS,AA2018 2123 Tchoupitoulas - Phase 1 Permit Set - Use Update - 2021-0316.pdf
5018637,ok,5756709,19-37400-RNVS,Permit set with Stormwater approvals.pdf
5082003,ok,5416416,20-34161-NEWC,1239 ST THOMAS 20210711 FINAL.pdf
