priority,doc_type,doc_id,permit_num,code,cost,sqft,issue_date,name,description
1,strict_finish_pdf,1381157,14-11290-NEWC,NEWC,1568000,7090,2014-10-09T00:00:00,IW-2.1 Branch Finish Plan Liberty Bank Gentilly 06.30.14.pdf,New construction of a Liberty Bank Branch w/retail space as per City Planning Commission DR 027-14 . Signs require separate permit.
1,strict_finish_pdf,4941409,20-29653-RNVS,RNVS,449179,1200,2021-06-21T09:08:19,Finish schedule.pdf,"Interior renovation - Inclusive of new floor joists in several areas, reset plumbing fixtures, electrical, HVAC, flooring, paint and other finishes"
2,interior_set_pdf,4623600,20-01153-RNVS,RNVS,1081185,0,2021-07-09T10:59:22,200914_CHNO B9_Interior Scope.pdf,"Structural renovation to a commercial building. Scope includes structural stabilization and restoration of major portions of the interior and exterior. Will also include incorporation of MEP services.

OK TCO AS PER SFM GOOD TILL 5-12-21"
2,interior_set_pdf,8348102,25-21013-RNVN,RNVN,3400000,42541,,250710-05 Interior Design.pdf,"**VCC: NOT INTERIOR WORK ONLY. VCC REVIEW AND APPROVAL ARE REQUIRED.

THE PROJECT SCOPE IS RESTRICTED TO INTERIOR RENOVATIONS OF SELECT SPACES THROUGHOUT THE SUB-BASEMENT, BASEMENT, LEVEL 01, LEVEL 02 & LEVEL 03 AT THE ROYAL SONESTA LOCATED AT 300 BOURBON ST. IN NEW ORLEANS, LA., AND DOES NOT AFFECT THE EXISTING OCCUPANCY, EXISTING OCCUPANCY COUNTS OR EXISTING EGRESS ROUTES. SPACES INCLUDED IN THE RENOVATION ARE OUTLINED BELOW:

SUB-BASEMENT: ROYAL/CONTI, BACCHUS, BOURBON, CORRIDOR, & STAIR 12, BASEMENT STAIR 12, FITNESS ROOM, WOMENS & MENS RR, MOTOR LOBBY

LEVEL 1: MAIN BALLROOM, PREFUNCTION, EVANGELINE (A, B, C), VESTIBULE, REGAL ROOM, ARCADE, ESPLANADE, IBERVILLE, SOLEIL & SOULE, ENTRANCE LOBBY, HOTEL LOBBY, LE BOOZE, JAZZ PLAYHOUSE, COURTYARD, FLEUR DE LIS SALON, FLEUR DE LIS (A, B, C), DESIRE OYSTER BAR, WOMENS & MENS RR.

LEVEL 2: BOARD ROOM, TECHE, BELLE GROVE, OAK ALLEY, MADEWOOD, GRIS GRIS, CHOCTAW, ASSEMBLY AREA, & TERRACE
 
LEVEL 3: POOL BAR
             
REFERENCE SHEET PS-G004.00 FOR A DIAGRAM OF AREA OF RENOVATION SCOPE THAT IS A LEVEL 1 ALTERATION & LEVEL 2 ALTERATION.

THE HOTEL IS TO REMAIN FULLY OPERATIONAL WITH ALL LIFE SAFETY SYSTEMS FULLY OPERATIONAL DURING CONSTRUCTION. 

ALL RESTROOM FIXTURE COUNTS ARE EXISTING TO REMAIN AND WILL NOT BE ALTERED AS PART OF THE INTERIOR RENOVATION."
3,plan_like_arch_pdf,59263,12-18474-NEWC,NEWC,185000,0,,Plot Plan and Benchmark Certificate - 7920 Sealed.pdf,Install 1 modular classroom building at school as per plans. (International School of Louisiana).
3,plan_like_arch_pdf,887047,12-20480-NEWC,NEWC,300000,4126,2012-09-05T00:00:00,7400 lakeshore city planning.pdf,"Construct new 2-story 4,126 sqft restaurant as per plans, BZA 91-12, and Orleans Levee District approval."
3,plan_like_arch_pdf,877236,12-21926-NEWC,NEWC,150000,1800,2013-01-10T00:00:00,12-21926 Revised Site Plan.pdf,"Construct a 1-story, 1800 sq ft retail Art Gallery/Studio as per plans. Fees paid under lost permit #12-21732-NEWC."
3,plan_like_arch_pdf,3652222,12-22479-NEWC,NEWC,2520570,0,2013-04-15T00:00:00,Elevation Certificate - Post Slab.pdf,"NEW CONSTRUCTION OF A 8000 SQ FT COMMUNITY CENTER AS PER PLANS and 12-22605-HDLC.

TCO permitted for 90 days until 7-20-2018"
3,plan_like_arch_pdf,3652223,12-22479-NEWC,NEWC,2520570,0,2013-04-15T00:00:00,Elevation Certificate - Post Construction.pdf,"NEW CONSTRUCTION OF A 8000 SQ FT COMMUNITY CENTER AS PER PLANS and 12-22605-HDLC.

TCO permitted for 90 days until 7-20-2018"
3,plan_like_arch_pdf,887030,12-25142-NEWC,NEWC,2331000,63750,2012-12-07T00:00:00,1301 S Claiborne City Planning.pdf,"New construction of a 63,750 sf float storage building for Krewe of Bacchus per plans."
