permit,code,tier,description,permit_type,cost,sqft,issue_date,permit_link,doc_count,docId,doc_name,download_url
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,7337010,1605 19019-F_20240611_AR_PermitExtensionRequest_SECURE.pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=7337010
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,5908498,1605 Och &amp; 1910 Terpsichore Street LLC.pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=5908498
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,5908492,"PENTEK DESIGN BUILD, 1 LLC Details.pdf",https://onestopapp.nola.gov/GetDocument.aspx?DocID=5908492
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,5382574,1605 OCH - FeeInLieu-Letter.pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=5382574
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,5315847,19019-F_20220110_Riser_SWB-Approved.pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=5315847
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,5401892,22-03 1605 Oretha Castle Haley Blvd BBSA Approval Letter.pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=5401892
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,5761958,CPC Final Approved Plans.pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=5761958
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,8327442,Building Permit (1).pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=8327442
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,8346810,Building Permit (2).pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=8346810
21-27441-NEWC,NEWC,P1_comm_NEWC,"RENOVATION OF EXISTING 2-STORY STRUCTURE & CONSTRUCTION OF NEW ATTACHED 4-STORY STRUCTURE FOR HOTEL USE. CONCRETE SLAB, WOOD FRAMED LOAD BEARING WALLS, FLOOR AND ROOF JOISTS. FACILITY WILL HAVE 10 MULTI-BEDROOM SUITES, INCLUDING A 4TH FLOOR SUITE WITH PRIVATE ROOF DECK/POOL, AND A ""PUBLIC"" ROOF DECK.

extend permit 180days to June 15, 2024.

Permit exended (1) 180 day periods until December 15, 2024

ANY OTHER EXTENSIONS REQUIRE RE-REVEW FOR CURRENT CODES- JPD

GLASER DEVELOPMENT LLC is the contractor as of 7/3/2025. 

REVISED PLANS HAVE BEEN UPLOADED FOR RE-REVIEW- EXTENSION AND REVIEW APPROVED",NEWC,4500000,18338,2026-05-26,http://onestopapp.nola.gov/Redirect.aspx?SearchString=TEXGRU,39,9367353,Building Permit (3).pdf,https://onestopapp.nola.gov/GetDocument.aspx?DocID=9367353
